event_ticker,series_ticker,title,sub_title,status,event_date,away_team,home_team
KXNBAGAME-25OCT24CLEBKN,KXNBAGAME,Cleveland vs Brooklyn,CLE at BKN (Oct 24),,2025-10-24,CLE,BKN
KXNBAGAME-25OCT24BOSNYK,KXNBAGAME,Boston vs New York,BOS at NYK (Oct 24),,2025-10-24,BOS,NYK
KXNBAGAME-25OCT24ATLORL,KXNBAGAME,Atlanta vs Orlando,ATL at ORL (Oct 24),,2025-10-24,ATL,ORL
KXNBAGAME-25OCT24MILTOR,KXNBAGAME,Milwaukee vs Toronto,MIL at TOR (Oct 24),,2025-10-24,MIL,TOR
KXNBAGAME-25OCT23DENGSW,KXNBAGAME,Denver vs Golden State,DEN at GSW (Oct 23),,2025-10-23,DEN,GSW
KXNBAGAME-25OCT23OKCIND,KXNBAGAME,Oklahoma City vs Indiana,OKC at IND (Oct 23),,2025-10-23,OKC,IND
KXNBAGAME-25OCT22SACPHX,KXNBAGAME,Sacramento vs Phoenix,SAC at PHX (Oct 22),,2025-10-22,SAC,PHX
KXNBAGAME-25OCT22MINPOR,KXNBAGAME,Minnesota vs Portland,MIN at POR (Oct 22),,2025-10-22,MIN,POR
KXNBAGAME-25OCT22SASDAL,KXNBAGAME,San Antonio vs Dallas,SAS at DAL (Oct 22),,2025-10-22,SAS,DAL
KXNBAGAME-25OCT22LACUTA,KXNBAGAME,Los Angeles C vs Utah,LAC at UTA (Oct 22),,2025-10-22,LAC,UTA
KXNBAGAME-25OCT22WASMIL,KXNBAGAME,Washington vs Milwaukee,WAS at MIL (Oct 22),,2025-10-22,WAS,MIL
KXNBAGAME-25OCT22NOPMEM,KXNBAGAME,New Orleans vs Memphis,NOP at MEM (Oct 22),,2025-10-22,NOP,MEM
KXNBAGAME-25OCT22DETCHI,KXNBAGAME,Detroit vs Chicago,DET at CHI (Oct 22),,2025-10-22,DET,CHI
KXNBAGAME-25OCT22TORATL,KXNBAGAME,Toronto vs Atlanta,TOR at ATL (Oct 22),,2025-10-22,TOR,ATL
KXNBAGAME-25OCT22PHIBOS,KXNBAGAME,Philadelphia vs Boston,PHI at BOS (Oct 22),,2025-10-22,PHI,BOS
KXNBAGAME-25OCT22MIAORL,KXNBAGAME,Miami vs Orlando,MIA at ORL (Oct 22),,2025-10-22,MIA,ORL
KXNBAGAME-25OCT22CLENYK,KXNBAGAME,Cleveland vs New York,CLE at NYK (Oct 22),,2025-10-22,CLE,NYK
KXNBAGAME-25OCT22BKNCHA,KXNBAGAME,Brooklyn vs Charlotte,BKN at CHA (Oct 22),,2025-10-22,BKN,CHA
KXNBAGAME-25OCT21GSWLAL,KXNBAGAME,Golden State vs Los Angeles L,GSW at LAL (Oct 21),,2025-10-21,GSW,LAL
KXNBAGAME-25OCT21HOUOKC,KXNBAGAME,Houston vs Oklahoma City,HOU at OKC (Oct 21),,2025-10-21,HOU,OKC
KXNBAGAME-25OCT17SACLAL,KXNBAGAME,Sacramento vs Los Angeles L,SAC at LAL (Oct 17),,2025-10-17,SAC,LAL
KXNBAGAME-25OCT17LACGSW,KXNBAGAME,Los Angeles C vs Golden State,LAC at GSW (Oct 17),,2025-10-17,LAC,GSW
KXNBAGAME-25OCT17MEMMIA,KXNBAGAME,Memphis vs Miami,MEM at MIA (Oct 17),,2025-10-17,MEM,MIA
KXNBAGAME-25OCT17INDSAS,KXNBAGAME,Indiana vs San Antonio,IND at SAS (Oct 17),,2025-10-17,IND,SAS
KXNBAGAME-25OCT17DENOKC,KXNBAGAME,Denver vs Oklahoma City,DEN at OKC (Oct 17),,2025-10-17,DEN,OKC
KXNBAGAME-25OCT17CHANYK,KXNBAGAME,Charlotte vs New York,CHA at NYK (Oct 17),,2025-10-17,CHA,NYK
KXNBAGAME-25OCT17MINPHI,KXNBAGAME,Minnesota vs Philadelphia,MIN at PHI (Oct 17),,2025-10-17,MIN,PHI
KXNBAGAME-25OCT17BKNTOR,KXNBAGAME,Brooklyn vs Toronto,BKN at TOR (Oct 17),,2025-10-17,BKN,TOR
KXNBAGAME-25OCT16PORUTA,KXNBAGAME,Portland vs Utah,POR at UTA (Oct 16),,2025-10-16,POR,UTA
KXNBAGAME-25OCT16MINCHI,KXNBAGAME,Minnesota vs Chicago,MIN at CHI (Oct 16),,2025-10-16,MIN,CHI
KXNBAGAME-25OCT16HOUATL,KXNBAGAME,Houston vs Atlanta,HOU at ATL (Oct 16),,2025-10-16,HOU,ATL
KXNBAGAME-25OCT16WASDET,KXNBAGAME,Washington vs Detroit,WAS at DET (Oct 16),,2025-10-16,WAS,DET
KXNBAGAME-25OCT16NOPORL,KXNBAGAME,New Orleans vs Orlando,NOP at ORL (Oct 16),,2025-10-16,NOP,ORL
KXNBAGAME-25OCT15DALLAL,KXNBAGAME,Dallas vs Los Angeles L,DAL at LAL (Oct 15),,2025-10-15,DAL,LAL
KXNBAGAME-25OCT15LACSAC,KXNBAGAME,LA vs Sacramento,LAC at SAC (Oct 15),,2025-10-15,LAC,SAC
KXNBAGAME-25OCT15TORBOS,KXNBAGAME,Toronto vs Boston,TOR at BOS (Oct 15),,2025-10-15,TOR,BOS
KXNBAGAME-25OCT15MEMCHA,KXNBAGAME,Memphis vs Charlotte,MEM at CHA (Oct 15),,2025-10-15,MEM,CHA
KXNBAGAME-25OCT14LALPHX,KXNBAGAME,Los Angeles L vs Phoenix,LAL at PHX (Oct 14),,2025-10-14,LAL,PHX
KXNBAGAME-25OCT14GSWPOR,KXNBAGAME,Golden State vs Portland,GSW at POR (Oct 14),,2025-10-14,GSW,POR
KXNBAGAME-25OCT14CHIDEN,KXNBAGAME,Chicago vs Denver,CHI at DEN (Oct 14),,2025-10-14,CHI,DEN
KXNBAGAME-25OCT14OKCMIL,KXNBAGAME,Oklahoma City vs Milwaukee,OKC at MIL (Oct 14),,2025-10-14,OKC,MIL
KXNBAGAME-25OCT14HOUNOP,KXNBAGAME,Houston vs New Orleans,HOU at NOP (Oct 14),,2025-10-14,HOU,NOP
KXNBAGAME-25OCT14DETCLE,KXNBAGAME,Detroit vs Cleveland,DET at CLE (Oct 14),,2025-10-14,DET,CLE
KXNBAGAME-25OCT13DALUTA,KXNBAGAME,Dallas vs Utah,DAL at UTA (Oct 13),,2025-10-13,DAL,UTA
KXNBAGAME-25OCT13GUAMIN,KXNBAGAME,Guangzhou vs Minnesota,GUA at MIN (Oct 13),,2025-10-13,GUA,MIN
KXNBAGAME-25OCT13WASNYK,KXNBAGAME,Washington vs New York,WAS at NYK (Oct 13),,2025-10-13,WAS,NYK
KXNBAGAME-25OCT13SASIND,KXNBAGAME,San Antonio vs Indiana,SAS at IND (Oct 13),,2025-10-13,SAS,IND
KXNBAGAME-25OCT13MIAATL,KXNBAGAME,Miami vs Atlanta,MIA at ATL (Oct 13),,2025-10-13,MIA,ATL
KXNBAGAME-25OCT12GSWLAL,KXNBAGAME,Golden State vs Los Angeles L,GSW at LAL (Oct 12),,2025-10-12,GSW,LAL
KXNBAGAME-25OCT12DENLAC,KXNBAGAME,Denver vs LA,DEN at LAC (Oct 12),,2025-10-12,DEN,LAC
KXNBAGAME-25OCT12MILCHI,KXNBAGAME,Milwaukee vs Chicago,MIL at CHI (Oct 12),,2025-10-12,MIL,CHI
